ID,TYPE,NAME,SET ID,COST,RENT,1 HOUSE,2 HOUSE,3 HOUSE,4 HOUSE,HOTEL,HOUSE COST
1,FREE,START,-,-,-,-,-,-,-,-,-
2,HOUSE_STD,MEDITTERRANEAN AVENUE,1,60,2,10,30,90,160,250,50
3,CHEST,COMMUNITY CHEST,-,-,-,-,-,-,-,-,-
4,HOUSE_STD,BALTIC AVENUE,1,60,4,20,60,180,320,450,50
5,TAX,INCOME TAX,-,-,200,-,-,-,-,-,-
6,RAIL,READING RAILROAD,-,200,25,-,-,-,-,-,-
7,HOUSE_STD,ORIENTAL AVENUE,2,100,6,30,90,270,400,550,50
8,CHANCE,CHANCE,-,-,-,-,-,-,-,-,-
9,HOUSE_STD,VERMONT AVENUE,2,100,6,30,90,270,400,550,50
10,HOUSE_STD,CONNECTICUT AVENUE,2,120,8,40,100,300,450,600,50
11,FREE,JUST VISITING JAIL,-,-,-,-,-,-,-,-,-
12,HOUSE_STD,ST. CHARLES PLACE,3,140,10,50,150,450,625,750,100
13,UTILITY,ELECTRIC COMPANY,-,150,25,-,-,-,-,-,-
14,HOUSE_STD,STATES AVENUE,3,140,10,50,150,450,625,750,100
15,HOUSE_STD,VIRGNIA AVENUE,3,160,12,60,180,500,700,900,100
16,RAIL,PENNSYLVANIA RAILROAD,-,200,25,-,-,-,-,-,-
17,HOUSE_STD,ST. JAMES PLACE,4,180,14,70,200,550,750,950,100
18,CHEST,COMMUNITY CHEST,-,-,-,-,-,-,-,-,-
19,HOUSE_STD,TENNESSEE AVENUE,4,180,14,70,200,550,750,950,100
20,HOUSE_STD,NEW YORK AVENUE,4,200,16,80,220,600,800,1000,100
21,FREE,FREE PARKING,-,-,-,-,-,-,-,-,-
22,HOUSE_STD,KENTUCKY AVENUE,5,220,18,90,250,700,875,1050,150
23,CHANCE,CHANCE,-,-,-,-,-,-,-,-,-
24,HOUSE_STD,INDIANA AVENUE,5,220,18,90,250,700,875,1050,150
25,HOUSE_STD,ILLINOIS AVENUE,5,240,20,100,300,750,925,1100,150
26,RAIL,B. & O. RAILROAD,-,200,25,-,-,-,-,-,-
27,HOUSE_STD,ATLANTIC AVENUE,6,260,22,110,330,800,925,1150,150
28,HOUSE_STD,VENTNOR AVENUE,6,260,22,110,330,800,925,1150,150
29,UTILITY,WATER WORKS,-,150,25,-,-,-,-,-,-
30,HOUSE_STD,MARVIN GARDENS,6,280,24,120,360,850,1025,1200,150
31,JAIL,GO TO JAIL,-,-,-,-,-,-,-,-,-
32,HOUSE_STD,PACIFIC AVENUE,7,300,26,130,390,900,1100,1275,200
33,HOUSE_STD,NORTH CAROLINA AVENUE,7,300,26,130,390,900,1100,1275,200
34,CHEST,COMMUNITY CHEST,-,-,-,-,-,-,-,-,-
35,HOUSE_STD,PENNSYLVANIA AVENUE,7,320,28,150,450,1000,1200,1400,200
36,RAIL,SHORT LINE,-,200,25,-,-,-,-,-,-
37,CHANCE,CHANCE,-,-,-,-,-,-,-,-,-
38,HOUSE_STD,PARK PLACE,8,350,35,175,500,1100,1300,1500,200
39,TAX,LUXURY TAX,-,-,100,-,-,-,-,-,-
40,HOUSE_STD,BOARDWALK,8,400,35,200,600,1400,1700,2000,200
